
Curso;Tema Macro;Dificultad;Tema Específico (ESP);Specific Topic (ENG);Descripción y relación con el Tema Macro;Función en R;Enlace 1;Enlace 2
AED;Herramientas estadísticas básicas;3;Análisis de potencia estadística;Statistical Power Analysis;Determina el tamaño de muestra necesario para detectar un efecto con una potencia dada, o calcula la potencia de un estudio ya diseñado. Conecta directamente con la toma de decisiones en pruebas de hipótesis.;pwr::pwr.t.test / pwr.anova.test;https://cran.r-project.org/web/packages/pwr/vignettes/pwr-vignette.html;https://www.statmethods.net/stats/power.html
AED;Herramientas estadísticas básicas;3;Manejo y visualización de datos faltantes;Missing Data Handling and Visualization;Diagnostica patrones de valores faltantes (MCAR, MAR, MNAR) y aplica imputación simple o múltiple. Es un paso crítico antes de cualquier análisis estadístico aplicado.;naniar::gg_miss_var / mice::mice;https://naniar.njtierney.com/;https://cran.r-project.org/web/packages/mice/vignettes/mids2mplus.html
AED;Herramientas estadísticas básicas;4;Estimación bayesiana de parámetros con brms;Bayesian Parameter Estimation with brms;Ajusta modelos estadísticos desde una perspectiva bayesiana usando MCMC, produciendo distribuciones posteriores en lugar de estimaciones puntuales. Ofrece una alternativa filosóficamente diferente a la inferencia frecuentista.;brms::brm;https://paul-buerkner.github.io/brms/;https://mc-stan.org/rstan/articles/rstan.html
AED;Herramientas estadísticas básicas;3;Pruebas de permutación e inferencia exacta;Permutation Tests and Exact Inference;Construye distribuciones de referencia permutando los datos en lugar de asumir una distribución teórica. Es el fundamento conceptual del remuestreo y permite pruebas válidas con muestras pequeñas.;coin::oneway_test / perm::permTS;https://cran.r-project.org/web/packages/coin/vignettes/coin.pdf;https://www.rdocumentation.org/packages/perm/versions/1.0-0.4/topics/permTS
AED;Herramientas estadísticas básicas;3;Transformaciones de Box-Cox y estabilización de varianza;Box-Cox Transformations and Variance Stabilization;Identifica la transformación potencia óptima para aproximar normalidad y homocedasticidad en una variable respuesta. Es un paso frecuente en el preprocesamiento antes de ajustar modelos lineales.;MASS::boxcox;https://www.rdocumentation.org/packages/MASS/versions/7.3-60/topics/boxcox;https://www.statmethods.net/stats/power.html
AED;Normal Multivariada y Visualización;4;Mixtura gaussiana para clustering (GMM);Gaussian Mixture Models for Clustering;Modela datos como mezcla de distribuciones normales multivariadas, realizando clustering suave basado en probabilidades de pertenencia. Es la extensión probabilística del k-means con fundamento en la normal multivariada.;mclust::Mclust;https://en.proft.me/2017/02/1/model-based-clustering-r/;https://cran.r-project.org/web/packages/mclust/vignettes/mclust.html
AED;Normal Multivariada y Visualización;4;Análisis discriminante lineal (LDA);Linear Discriminant Analysis (LDA);Encuentra combinaciones lineales de variables que maximizan la separación entre grupos predefinidos, bajo el supuesto de normalidad multivariada con covarianzas iguales. Extiende la visualización a la clasificación supervisada.;MASS::lda;https://www.rdocumentation.org/packages/MASS/versions/7.3-60/topics/lda;http://www.sthda.com/english/articles/36-classification-methods-essentials/146-discriminant-analysis-essentials-in-r/
AED;Normal Multivariada y Visualización;4;Análisis discriminante cuadrático (QDA);Quadratic Discriminant Analysis (QDA);Generaliza el LDA permitiendo matrices de covarianza distintas por grupo, lo que produce fronteras de decisión cuadráticas. Ilustra cómo relajar el supuesto de homogeneidad de varianzas cambia la geometría del clasificador.;MASS::qda;https://www.rdocumentation.org/packages/MASS/versions/7.3-60/topics/qda;http://www.sthda.com/english/articles/36-classification-methods-essentials/146-discriminant-analysis-essentials-in-r/
AED;Normal Multivariada y Visualización;3;Cópulas para modelar dependencias no lineales;Copulas for Modeling Non-linear Dependencies;Separa la estructura de dependencia entre variables de sus distribuciones marginales, permitiendo modelar colas pesadas y dependencias asimétricas. Extiende la normal multivariada a contextos donde la dependencia es más compleja.;copula::normalCopula / BiCopSelect;https://cran.r-project.org/web/packages/copula/vignettes/copula_JCGS.pdf;https://www.rdocumentation.org/packages/copula/versions/1.1-3/topics/normalCopula
AED;Normal Multivariada y Visualización;3;Regresión canónica: correlación entre dos conjuntos de variables;Canonical Correlation Analysis (CCA);Identifica las combinaciones lineales de dos bloques de variables que tienen máxima correlación entre sí. Es la generalización multivariada de la correlación simple y un paso natural tras el estudio de la covarianza conjunta.;stats::cancor / CCA::cc;https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/cancor;https://cran.r-project.org/web/packages/CCA/vignettes/CCA.pdf
AED;Análisis de componentes principales;3;Análisis factorial exploratorio (EFA);Exploratory Factor Analysis (EFA);Identifica factores latentes que explican la correlación entre variables observables, a diferencia del PCA que busca varianza total. Conecta el PCA con modelos de variables latentes más interpretables.;psych::fa;https://personality-project.org/r/psych/HowTo/factor.pdf;https://m-clark.github.io/docs/efa_notes.html
AED;Análisis de componentes principales;4;PCA robusto ante valores atípicos;Robust PCA;Reemplaza la media y covarianza por estimadores robustos antes de calcular los componentes, reduciendo el efecto de outliers sobre la dirección de máxima varianza. Extiende el PCA clásico a datos con contaminación.;rrcov::PcaCov;https://cran.r-project.org/web/packages/rrcov/vignettes/rrcov.pdf;https://www.rdocumentation.org/packages/rrcov/versions/1.7-6/topics/PcaCov
AED;Análisis de componentes principales;3;PCA con datos faltantes (imputación iterativa);PCA with Missing Data;Aplica PCA iterativamente imputando los valores faltantes con la reconstrucción de rango bajo, combinando reducción de dimensión con manejo de datos incompletos.;missMDA::imputePCA;https://cran.r-project.org/web/packages/missMDA/vignettes/missMDA.pdf;http://www.sthda.com/english/articles/31-principal-component-methods-in-r-practical-guide/
AED;Análisis de componentes principales;3;t-SNE para visualización no lineal en 2D;t-SNE for 2D Non-linear Visualization;Proyecta datos de alta dimensión en 2D preservando la estructura local de vecindades, produciendo visualizaciones más expresivas que los dos primeros componentes principales en datos con estructura compleja.;Rtsne::Rtsne;https://distill.pub/2016/misread-tsne/;https://www.rdocumentation.org/packages/Rtsne/versions/0.17/topics/Rtsne
